AssetTag,Type,Model,Serial,Department,AssignedTo,OS/Firmware,Encryption,Status,PurchaseDate
LAP-MAR-060,Laptop,Dell Latitude 5440,CTS100060,Marketing,fhayes60,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-061,Laptop,Lenovo ThinkPad T14,CTS100061,Marketing,asimmons61,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-062,Laptop,HP EliteBook 840 G10,CTS100062,Marketing,jcoleman62,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-063,Laptop,Dell Latitude 5440,CTS100063,Marketing,mturner63,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-064,Laptop,Lenovo ThinkPad T14,CTS100064,Marketing,tward64,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-065,Laptop,HP EliteBook 840 G10,CTS100065,Marketing,cjames65,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-066,Laptop,Dell Latitude 5440,CTS100066,Customer Success,rmorgan66,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-067,Laptop,Lenovo ThinkPad T14,CTS100067,Customer Success,cbennett67,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-068,Laptop,HP EliteBook 840 G10,CTS100068,Customer Success,pfoster68,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-069,Laptop,Dell Latitude 5440,CTS100069,Customer Success,qhayes69,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-070,Laptop,Lenovo ThinkPad T14,CTS100070,Customer Success,dbailey70,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-071,Laptop,HP EliteBook 840 G10,CTS100071,Customer Success,ssimmons71,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-072,Laptop,Dell Latitude 5440,CTS100072,Customer Success,rcoleman72,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-073,Laptop,Lenovo ThinkPad T14,CTS100073,Customer Success,eturner73,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-074,Laptop,HP EliteBook 840 G10,CTS100074,Customer Success,rward74,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-CUS-075,Laptop,Dell Latitude 5440,CTS100075,Customer Success,fjames75,Windows 11 Pro,Encrypted,In Service,2026-01-15
PRN-01,Printer,HP LaserJet Enterprise,PRN9001,Shared,Unassigned,Firmware 5.7,N/A,In Service,2025-11-01
PRN-02,Printer,HP LaserJet Enterprise,PRN9002,Shared,Unassigned,Firmware 5.7,N/A,In Service,2025-11-01
PRN-03,Printer,HP LaserJet Enterprise,PRN9003,Shared,Unassigned,Firmware 5.7,N/A,In Service,2025-11-01
PRN-04,Printer,HP LaserJet Enterprise,PRN9004,Shared,Unassigned,Firmware 5.7,N/A,In Service,2025-11-01
PRN-05,Printer,HP LaserJet Enterprise,PRN9005,Shared,Unassigned,Firmware 5.7,N/A,In Service,2025-11-01
PRN-06,Printer,HP LaserJet Enterprise,PRN9006,Shared,Unassigned,Firmware 5.7,N/A,In Service,2025-11-01
