change_id,change_date,change_month,change_type,risk,technology,result,success_flag,rollback_required,incident_created,owner_team,failed_or_impacted
CHG-2046,2026-03-05,2026-03,Standard,Low,AWS,Success,1,0,0,Security,0
CHG-2047,2026-07-28,2026-07,Normal,Low,Windows,Success,1,0,0,Network,0
CHG-2048,2026-05-05,2026-05,Normal,Medium,Network,Success,1,0,0,Security,0
CHG-2049,2026-05-02,2026-05,Emergency,Medium,Network,Failed,0,1,0,Network,1
CHG-2050,2026-05-21,2026-05,Normal,Low,Network,Failed,0,1,0,Infrastructure,1
CHG-2051,2026-06-16,2026-06,Normal,Low,Network,Success,1,0,0,Identity,0
CHG-2052,2026-04-28,2026-04,Standard,Medium,Microsoft 365,Failed,0,1,1,Security,1
CHG-2053,2026-07-18,2026-07,Normal,Low,Network,Success,1,0,0,Cloud Operations,0
CHG-2054,2026-06-20,2026-06,Standard,Medium,Microsoft 365,Success,1,0,0,Security,0
CHG-2055,2026-07-06,2026-07,Standard,Low,Windows,Success,1,0,0,Network,0
CHG-2056,2026-02-14,2026-02,Normal,High,AWS,Failed,0,1,1,Cloud Operations,1
CHG-2057,2026-04-19,2026-04,Normal,Low,Security,Success,1,0,0,Identity,0
CHG-2058,2026-03-13,2026-03,Emergency,Medium,Windows,Failed,0,1,0,Security,1
CHG-2059,2026-01-26,2026-01,Normal,High,Security,Success,1,0,0,Network,0
CHG-2060,2026-07-20,2026-07,Standard,Medium,AWS,Success,1,0,0,Cloud Operations,0
CHG-2061,2026-06-29,2026-06,Normal,Medium,Microsoft 365,Success,1,0,0,Network,0
CHG-2062,2026-05-10,2026-05,Emergency,Low,Microsoft 365,Success,1,0,0,Network,0
CHG-2063,2026-06-30,2026-06,Standard,Medium,Security,Success,1,0,0,Security,0
CHG-2064,2026-03-07,2026-03,Standard,Low,AWS,Success,1,0,0,Infrastructure,0
CHG-2065,2026-06-30,2026-06,Normal,High,Network,Success,1,0,0,Identity,0
CHG-2066,2026-01-19,2026-01,Normal,High,AWS,Success,1,0,0,Network,0
CHG-2067,2026-05-14,2026-05,Normal,High,Windows,Success,1,0,0,Cloud Operations,0
CHG-2068,2026-05-01,2026-05,Normal,Medium,Microsoft 365,Success,1,0,0,Cloud Operations,0
CHG-2069,2026-02-13,2026-02,Standard,High,Security,Success,1,0,0,Infrastructure,0
CHG-2070,2026-02-07,2026-02,Standard,Low,AWS,Success,1,0,0,Cloud Operations,0
CHG-2071,2026-02-18,2026-02,Standard,Low,Windows,Success,1,0,0,Identity,0
CHG-2072,2026-04-18,2026-04,Standard,Medium,Linux,Success,1,0,0,Security,0
CHG-2073,2026-06-15,2026-06,Normal,Low,Security,Success,1,0,0,Cloud Operations,0
CHG-2074,2026-07-13,2026-07,Normal,Low,Microsoft 365,Success,1,0,0,Cloud Operations,0
CHG-2075,2026-02-13,2026-02,Standard,High,Microsoft 365,Success,1,0,0,Identity,0
CHG-2076,2026-02-21,2026-02,Standard,High,AWS,Failed,0,1,1,Infrastructure,1
CHG-2077,2026-03-10,2026-03,Normal,Low,Microsoft 365,Success,1,0,0,Identity,0
CHG-2078,2026-06-02,2026-06,Normal,Medium,Security,Success,1,0,0,Infrastructure,0
CHG-2079,2026-05-27,2026-05,Standard,Medium,Linux,Success,1,0,0,Infrastructure,0
CHG-2080,2026-03-13,2026-03,Emergency,Medium,Network,Success,1,0,0,Cloud Operations,0
CHG-2081,2026-01-23,2026-01,Normal,Low,Linux,Success,1,0,0,Network,0
CHG-2082,2026-01-12,2026-01,Normal,High,Microsoft 365,Success,1,0,0,Infrastructure,0
CHG-2083,2026-07-07,2026-07,Standard,High,Microsoft 365,Success,1,0,0,Cloud Operations,0
CHG-2084,2026-02-27,2026-02,Normal,Medium,Microsoft 365,Success,1,0,0,Network,0
CHG-2085,2026-01-27,2026-01,Normal,High,Microsoft 365,Success,1,0,0,Identity,0
CHG-2086,2026-06-03,2026-06,Normal,Low,AWS,Success,1,0,0,Identity,0
CHG-2087,2026-07-05,2026-07,Standard,Low,Microsoft 365,Success,1,0,0,Infrastructure,0
CHG-2088,2026-03-10,2026-03,Normal,Medium,AWS,Success,1,0,0,Identity,0
CHG-2089,2026-07-01,2026-07,Normal,Low,Network,Success,1,0,0,Security,0
CHG-2090,2026-02-27,2026-02,Normal,Medium,AWS,Success,1,0,0,Identity,0
CHG-2091,2026-05-06,2026-05,Standard,Medium,Network,Success,1,0,0,Security,0
CHG-2092,2026-06-25,2026-06,Normal,High,Security,Success,1,0,0,Network,0
CHG-2093,2026-03-29,2026-03,Standard,Medium,Network,Success,1,0,0,Cloud Operations,0
CHG-2094,2026-02-20,2026-02,Normal,Medium,Network,Success,1,0,0,Infrastructure,0
CHG-2095,2026-06-19,2026-06,Normal,High,Windows,Success,1,0,0,Cloud Operations,0
CHG-2096,2026-07-19,2026-07,Standard,High,Linux,Success,1,0,0,Cloud Operations,0
CHG-2097,2026-03-02,2026-03,Emergency,Medium,Network,Success,1,0,0,Cloud Operations,0
CHG-2098,2026-06-19,2026-06,Normal,Medium,Windows,Success,1,0,0,Cloud Operations,0
CHG-2099,2026-04-12,2026-04,Normal,Low,AWS,Success,1,0,0,Cloud Operations,0
CHG-2100,2026-04-12,2026-04,Normal,High,Security,Success,1,0,0,Identity,0
CHG-2101,2026-05-15,2026-05,Standard,High,Windows,Success,1,0,0,Security,0
CHG-2102,2026-01-10,2026-01,Standard,Medium,Network,Success,1,0,0,Identity,0
CHG-2103,2026-02-28,2026-02,Normal,Medium,AWS,Success,1,0,0,Identity,0
CHG-2104,2026-02-05,2026-02,Standard,Medium,Linux,Success,1,0,0,Cloud Operations,0
CHG-2105,2026-03-22,2026-03,Standard,Low,Security,Success,1,0,0,Infrastructure,0
CHG-2106,2026-02-10,2026-02,Normal,High,Linux,Success,1,0,0,Infrastructure,0
CHG-2107,2026-01-14,2026-01,Normal,Medium,Windows,Success,1,0,0,Security,0
CHG-2108,2026-03-13,2026-03,Standard,Low,Linux,Success,1,0,0,Cloud Operations,0
CHG-2109,2026-01-20,2026-01,Standard,High,Microsoft 365,Success,1,0,0,Network,0
CHG-2110,2026-05-05,2026-05,Normal,High,Microsoft 365,Success,1,0,0,Identity,0
CHG-2111,2026-05-07,2026-05,Normal,High,Linux,Success,1,0,0,Security,0
CHG-2112,2026-03-27,2026-03,Normal,Low,Security,Success,1,0,0,Network,0
CHG-2113,2026-03-20,2026-03,Standard,Low,Network,Success,1,0,0,Cloud Operations,0
CHG-2114,2026-06-18,2026-06,Standard,High,Linux,Success,1,0,0,Security,0
CHG-2115,2026-01-14,2026-01,Standard,Low,Linux,Success,1,0,0,Identity,0
CHG-2116,2026-07-10,2026-07,Normal,High,AWS,Success,1,0,0,Infrastructure,0
CHG-2117,2026-01-13,2026-01,Standard,Low,AWS,Success,1,0,0,Security,0
CHG-2118,2026-06-25,2026-06,Standard,Medium,Microsoft 365,Success,1,0,0,Identity,0
CHG-2119,2026-02-05,2026-02,Emergency,Medium,AWS,Failed,0,1,1,Identity,1
CHG-2120,2026-07-08,2026-07,Normal,Low,Security,Success,1,0,0,Network,0
CHG-2121,2026-07-05,2026-07,Normal,Medium,Network,Failed,0,1,0,Network,1
CHG-2122,2026-02-11,2026-02,Normal,High,Microsoft 365,Success,1,0,0,Identity,0
CHG-2123,2026-02-05,2026-02,Standard,Low,AWS,Success,1,0,0,Identity,0
CHG-2124,2026-04-25,2026-04,Normal,High,Microsoft 365,Success,1,0,0,Security,0
CHG-2125,2026-03-19,2026-03,Standard,Medium,Microsoft 365,Success,1,0,0,Cloud Operations,0
CHG-2126,2026-06-02,2026-06,Standard,Medium,Network,Success,1,0,0,Network,0
CHG-2127,2026-06-16,2026-06,Normal,Medium,Windows,Success,1,0,0,Infrastructure,0
CHG-2128,2026-02-20,2026-02,Standard,Low,Windows,Success,1,0,0,Identity,0
CHG-2129,2026-07-24,2026-07,Normal,Low,Network,Success,1,0,0,Security,0
CHG-2130,2026-04-09,2026-04,Normal,Medium,AWS,Success,1,0,0,Network,0
CHG-2131,2026-01-02,2026-01,Standard,High,Security,Success,1,0,0,Identity,0
CHG-2132,2026-01-02,2026-01,Standard,High,Linux,Success,1,0,0,Cloud Operations,0
CHG-2133,2026-01-08,2026-01,Standard,High,Security,Success,1,0,0,Network,0
CHG-2134,2026-01-08,2026-01,Standard,Medium,AWS,Success,1,0,0,Infrastructure,0
CHG-2135,2026-05-16,2026-05,Normal,High,Windows,Success,1,0,0,Security,0
CHG-2136,2026-01-24,2026-01,Normal,Low,Linux,Success,1,0,0,Infrastructure,0
CHG-2137,2026-02-21,2026-02,Normal,Low,AWS,Failed,0,1,0,Network,1
CHG-2138,2026-04-12,2026-04,Standard,Low,Microsoft 365,Success,1,0,0,Cloud Operations,0
CHG-2139,2026-06-28,2026-06,Standard,Medium,Network,Success,1,0,0,Cloud Operations,0
CHG-2140,2026-07-05,2026-07,Normal,High,AWS,Success,1,0,0,Security,0
CHG-2141,2026-06-21,2026-06,Standard,Medium,AWS,Success,1,0,0,Identity,0
CHG-2142,2026-03-08,2026-03,Standard,Medium,Windows,Success,1,0,0,Cloud Operations,0
CHG-2143,2026-01-07,2026-01,Normal,Medium,Microsoft 365,Success,1,0,0,Network,0
CHG-2144,2026-01-20,2026-01,Normal,Low,Linux,Success,1,0,0,Cloud Operations,0
CHG-2145,2026-04-29,2026-04,Normal,High,AWS,Success,1,0,0,Cloud Operations,0
CHG-2146,2026-04-26,2026-04,Standard,High,Network,Success,1,0,0,Security,0
CHG-2147,2026-04-04,2026-04,Normal,Medium,Linux,Success,1,0,0,Infrastructure,0
CHG-2148,2026-02-14,2026-02,Standard,Low,AWS,Success,1,0,0,Security,0
CHG-2149,2026-07-17,2026-07,Standard,Medium,Network,Success,1,0,0,Network,0
CHG-2150,2026-02-08,2026-02,Normal,Medium,Security,Success,1,0,0,Infrastructure,0
