asset_id,hostname,model,operating_system,department,assigned_user_id,status,last_inventory_date,replacement_cost_usd
AST-0130,NSS-WKS-130,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0211,Repair,2026-04-13,1210.05
AST-0131,NSS-WKS-131,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0137,Active,2026-04-14,1460.63
AST-0132,NSS-WKS-132,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0031,Active,2026-05-13,1092.27
AST-0133,NSS-WKS-133,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0037,Repair,2026-01-31,1369.4
AST-0134,NSS-WKS-134,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0161,Repair,2026-01-11,1334.48
AST-0135,NSS-WKS-135,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0248,Active,2026-04-01,1541.94
AST-0136,NSS-WKS-136,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0091,Spare,2026-03-07,1351.66
AST-0137,NSS-WKS-137,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0203,Repair,2026-03-09,1520.84
AST-0138,NSS-WKS-138,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0203,Active,2026-06-19,1313.29
AST-0139,NSS-WKS-139,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0182,Repair,2026-03-10,565.35
AST-0140,NSS-WKS-140,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0045,Spare,2026-07-04,582.18
AST-0141,NSS-WKS-141,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0013,Spare,2026-05-06,1308.07
AST-0142,NSS-WKS-142,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0173,Repair,2026-07-02,1128.25
AST-0143,NSS-WKS-143,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0206,Spare,2026-07-26,1284.05
AST-0144,NSS-WKS-144,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0143,Spare,2026-06-05,636.66
AST-0145,NSS-WKS-145,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0060,Active,2026-06-21,647.5
AST-0146,NSS-WKS-146,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0203,Active,2026-01-02,1022.23
AST-0147,NSS-WKS-147,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0033,Active,2026-02-01,1409.33
AST-0148,NSS-WKS-148,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0011,Spare,2026-07-20,1415.62
AST-0149,NSS-WKS-149,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0108,Repair,2026-06-17,686.56
AST-0150,NSS-WKS-150,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0146,Repair,2026-01-03,562.7
AST-0151,NSS-WKS-151,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0156,Repair,2026-01-07,1613.3
AST-0152,NSS-WKS-152,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0212,Active,2026-05-18,1125.14
AST-0153,NSS-WKS-153,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0074,Spare,2026-01-27,1388.2
AST-0154,NSS-WKS-154,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0020,Active,2026-03-29,1261.15
AST-0155,NSS-WKS-155,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0052,Active,2026-04-14,1316.88
AST-0156,NSS-WKS-156,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0157,Spare,2026-04-02,757.77
AST-0157,NSS-WKS-157,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0169,Repair,2026-07-14,1442.67
AST-0158,NSS-WKS-158,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0109,Active,2026-01-30,1040.35
AST-0159,NSS-WKS-159,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0110,Active,2026-07-06,793.78
AST-0160,NSS-WKS-160,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0122,Spare,2026-06-14,1193.9
AST-0161,NSS-WKS-161,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0249,Active,2026-02-18,1236.39
AST-0162,NSS-WKS-162,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0099,Active,2026-02-12,584.56
AST-0163,NSS-WKS-163,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0020,Active,2026-07-24,1286.33
AST-0164,NSS-WKS-164,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0143,Repair,2026-05-09,688.82
AST-0165,NSS-WKS-165,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0056,Active,2026-01-06,620.09
AST-0166,NSS-WKS-166,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0146,Active,2026-05-19,1270.31
AST-0167,NSS-WKS-167,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0150,Spare,2026-03-15,695.52
AST-0168,NSS-WKS-168,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0043,Active,2026-03-11,1431.0
AST-0169,NSS-WKS-169,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0088,Active,2026-07-20,1218.61
AST-0170,NSS-WKS-170,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0107,Repair,2026-05-08,919.42
AST-0171,NSS-WKS-171,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0122,Spare,2026-01-29,1470.48
AST-0172,NSS-WKS-172,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0019,Repair,2026-04-16,816.62
AST-0173,NSS-WKS-173,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0124,Repair,2026-01-24,1125.68
AST-0174,NSS-WKS-174,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0128,Repair,2026-04-21,1376.51
AST-0175,NSS-WKS-175,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0232,Spare,2026-06-04,1310.99
AST-0176,NSS-WKS-176,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0232,Spare,2026-05-13,1491.14
AST-0177,NSS-WKS-177,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0108,Spare,2026-06-11,1156.25
AST-0178,NSS-WKS-178,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0246,Active,2026-07-03,1078.74
AST-0179,NSS-WKS-179,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0179,Spare,2026-03-29,1092.25
AST-0180,NSS-WKS-180,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0059,Active,2026-04-14,1486.85
AST-0181,NSS-WKS-181,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0054,Repair,2026-03-10,1248.05
AST-0182,NSS-WKS-182,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0139,Repair,2026-02-12,1231.11
AST-0183,NSS-WKS-183,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0081,Spare,2026-01-17,643.34
AST-0184,NSS-WKS-184,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0162,Repair,2026-04-30,1128.93
AST-0185,NSS-WKS-185,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0128,Spare,2026-06-10,1294.82
AST-0186,NSS-WKS-186,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0140,Spare,2026-03-14,840.41
AST-0187,NSS-WKS-187,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0030,Active,2026-06-16,1625.31
AST-0188,NSS-WKS-188,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0170,Repair,2026-05-29,1261.21
AST-0189,NSS-WKS-189,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0245,Spare,2026-04-06,767.04
AST-0190,NSS-WKS-190,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0014,Active,2026-05-17,804.66
AST-0191,NSS-WKS-191,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0107,Spare,2026-04-29,1108.5
AST-0192,NSS-WKS-192,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0249,Repair,2026-05-13,1231.66
AST-0193,NSS-WKS-193,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0075,Active,2026-05-15,1532.91
AST-0194,NSS-WKS-194,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0122,Active,2026-04-03,1590.58
AST-0195,NSS-WKS-195,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0166,Active,2026-01-23,793.16
AST-0196,NSS-WKS-196,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0164,Active,2026-06-10,1541.8
AST-0197,NSS-WKS-197,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0067,Spare,2026-04-26,1108.75
AST-0198,NSS-WKS-198,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0035,Active,2026-04-17,739.18
AST-0199,NSS-WKS-199,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0019,Active,2026-06-02,806.06
AST-0200,NSS-WKS-200,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0076,Active,2026-03-28,876.32
AST-0201,NSS-WKS-201,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0241,Repair,2026-03-18,732.49
AST-0202,NSS-WKS-202,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0065,Active,2026-07-20,1241.73
AST-0203,NSS-WKS-203,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0032,Active,2026-02-19,1616.13
AST-0204,NSS-WKS-204,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0008,Active,2026-01-05,843.66
AST-0205,NSS-WKS-205,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0233,Active,2026-02-20,1484.66
AST-0206,NSS-WKS-206,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0068,Spare,2026-05-03,835.15
AST-0207,NSS-WKS-207,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0023,Repair,2026-06-25,1493.23
AST-0208,NSS-WKS-208,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0182,Spare,2026-07-13,988.97
AST-0209,NSS-WKS-209,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0005,Repair,2026-02-05,1061.07
AST-0210,NSS-WKS-210,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0014,Spare,2026-02-10,1391.34
AST-0211,NSS-WKS-211,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0232,Spare,2026-05-19,573.57
AST-0212,NSS-WKS-212,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0159,Spare,2026-02-03,1600.55
AST-0213,NSS-WKS-213,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0033,Active,2026-03-25,817.33
AST-0214,NSS-WKS-214,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0128,Repair,2026-05-21,1128.79
AST-0215,NSS-WKS-215,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0119,Active,2026-02-04,676.46
AST-0216,NSS-WKS-216,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0047,Spare,2026-03-30,664.92
